TP_GROUP_ID	CONNECTIONS_STARTED	CONNECTIONS_CLOSED	QUERIES_EXECUTED	QUERIES_QUEUED	THREADS_STARTED	PRIO_KICKUPS	STALLED_QUERIES_EXECUTED	BECOME_CONSUMER_THREAD	BECOME_RESERVE_THREAD	BECOME_WAITING_THREAD	WAKE_THREAD_STALL_CHECKER	SLEEP_WAITS	DISK_IO_WAITS	ROW_LOCK_WAITS	GLOBAL_LOCK_WAITS	META_DATA_LOCK_WAITS	TABLE_LOCK_WAITS	USER_LOCK_WAITS	BINLOG_WAITS	GROUP_COMMIT_WAITS	FSYNC_WAITS
0	4265	4246	206888317	118563783	23	0	16696	5726735	904472	138759896	21719	0	6616163	214	0	0	234	0	0	0	0
1	4265	4243	197027460	107754480	20	0	14973	4966602	780203	127384531	19476	0	5735291	242	0	0	214	0	0	0	0
2	4265	4241	202125891	113832010	20	0	16439	5418128	888513	133583879	21271	0	6300225	216	0	1	240	0	0	0	0
3	4265	4242	203596199	116195124	22	0	16795	5682096	865833	135991238	21767	0	6547860	306	0	1	267	0	0	0	0
4	4264	4245	206353483	114575793	23	0	16480	5610004	904148	135339083	21091	0	6499259	499	0	0	262	0	0	0	0
5	4264	4242	200705950	112183615	22	0	16174	5377575	913677	131723280	21000	0	6276228	215	0	0	225	0	0	0	0
6	4264	4244	197110764	105863773	22	0	15613	5554239	870237	126742657	20291	0	6411987	224	0	1	253	0	0	0	0
7	4264	4237	202323563	111040644	20	0	16576	5509700	943808	132052800	21671	0	6438238	208	0	0	213	0	0	0	0
8	4264	4243	205112517	117522195	23	0	16924	5532511	866953	137514250	21701	0	6390029	387	0	0	255	0	0	0	0
9	4264	4233	201429427	107197308	23	0	16288	5547958	911855	128746366	21045	0	6446276	551	0	0	247	0	0	0	0
10	4264	4242	209035869	119341649	25	0	16989	5723051	889879	139341900	21997	0	6632674	713	0	0	243	0	0	0	0
11	4264	4239	205167828	114105172	21	0	16549	6446455	835610	134139425	21553	0	7313211	465	0	1	178	0	0	0	0
12	4264	4242	203955856	113011841	21	0	16630	7405630	938628	133977566	21273	0	8331258	880	0	1	292	0	0	0	0
13	4264	4236	205150483	116121166	21	0	16871	5302912	862559	136101239	21787	0	6151233	557	0	0	250	0	0	0	0
14	4264	4236	213307288	121772081	21	0	17437	10897712	980422	141943665	22650	0	11891658	321	0	0	254	0	0	0	0
15	4264	4237	199408024	109983030	22	0	16017	6407699	783625	129823124	20684	0	7418288	381	0	1	226	0	0	0	0
16	4264	4243	200401293	113101368	26	0	16309	5303099	810151	133009334	21132	0	6102571	635	0	1	204	0	0	0	0
17	4264	4239	212201358	120803104	26	0	17023	5614626	906600	141550519	21794	0	6505402	500	0	3	239	0	0	0	0
18	4264	4235	203375887	114761170	22	0	16321	7248203	912173	135132996	21156	0	8342319	311	0	0	220	0	0	0	0
19	4264	4238	202731500	116779212	23	0	16448	5075118	784412	135802524	21257	0	5845923	234	0	2	217	0	0	0	0
20	4264	4240	204308294	115538791	23	0	16311	6001869	918242	135814637	21077	0	6909163	265	0	1	263	0	0	0	0
21	4264	4238	216219952	125213752	22	0	17536	6511513	978380	145932963	22582	0	7485472	291	0	1	267	0	0	0	0
22	4264	4245	207225395	120187323	24	0	16493	5499674	893060	140173470	21312	0	6377232	284	0	1	281	0	0	0	0
23	4264	4238	207003431	118674005	25	0	16331	5909540	826496	138205513	21230	0	6723020	306	0	3	208	0	0	0	0
24	4264	4242	199188567	109869932	26	0	15626	7255943	857525	130498161	20395	0	8104707	217	0	2	203	0	0	0	0
25	4264	4240	212240792	126629263	27	0	16716	5699223	905715	145864340	21680	0	6598282	296	0	1	254	0	0	0	0
26	4264	4241	208561338	116815417	22	0	17173	5969748	941983	137822945	22327	0	6906510	273	0	3	268	0	0	0	0
27	4264	4240	202294560	116465968	22	0	17146	5247234	838054	135649835	22043	0	6070917	268	0	0	233	0	0	0	0
28	4264	4248	194010014	107215223	20	0	15417	5342397	864245	127643520	20101	0	6193324	169	0	1	217	0	0	0	0
29	4264	4243	201400189	114444785	22	0	16189	5268176	830789	133380416	20837	0	6083951	256	0	0	249	0	0	0	0
